,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
533, but,4.3581532065542026e-06,0.00015194437582977116,7.668466556198794e-12,2.7165701794729102e-06,2.5014429923544875e-06,14216,8345,0.587014631401238,3319,0.23346933033202025,1781,0.12528137310073156,1163,0.08180922903770399,852,0.05993247045582442,696,0.04895891952729319,564,0.03967360720315138,461,0.03242824985931345,393,0.027644907146876757,338,0.02377602701181767
368, you,6.748476513619641e-06,0.0005115604144521058,-5.026002400723706e-13,4.5311026042327285e-06,,39193,29417,0.7505677034164264,20164,0.5144796264639093,12814,0.3269461383410303,8165,0.20832801775827317,5340,0.13624881994233665,3759,0.09590998392570102,2764,0.07052279743831806,2073,0.05289209807873855,1627,0.04151251498992167,1312,0.03347536549894114
452, have,5.695471107166926e-06,0.00027746407431550324,1.6207987174610139e-09,4.292683570383815e-06,4.028290738502691e-06,25247,18520,0.7335525012872817,11386,0.4509842753594486,6284,0.24890085950806037,3507,0.1389075929813443,2139,0.08472293737869846,1372,0.05434309026815067,926,0.03667762506436408,649,0.02570602447815582,465,0.018418029864934446,346,0.013704598566166277
281, to,7.399268393823254e-06,0.0004935292527079582,4.796474415563745e-12,5.3108074098418e-06,4.604325334250896e-06,157594,118720,0.75332817239235,88982,0.5646280949782352,52236,0.3314593195172405,30299,0.19225985760879222,18706,0.11869741233803317,12778,0.08108176707235047,9167,0.058168458190032614,6964,0.04418949960023859,5480,0.03477289744533421,4504,0.02857976826528929
14,-,1.8366025444407388e-05,0.0005775300087407231,3.119567795815785e-14,1.0405192369944416e-05,6.472349855143839e-06,97809,70514,0.7209357012135897,63342,0.6476091157255467,56423,0.5768692042654562,49766,0.5088079829054586,43455,0.44428426831886636,37978,0.3882873764173031,33298,0.3404390189041908,29352,0.30009508327454526,25988,0.26570152030999195,23264,0.23785132247543683
323, for,7.6085499618189e-06,0.0011346263345330954,1.8846738406019803e-12,5.061903721070848e-06,4.841681321252439e-06,64511,46496,0.7207452992512905,33166,0.5141138720528282,18946,0.29368634806467114,10730,0.16632822309373596,6821,0.10573390584551472,4710,0.07301080435894654,3630,0.05626947342313714,2935,0.045496116941296835,2503,0.03879958456697308,2162,0.03351366433631474
2829, table,6.500153214184489e-06,4.956590782967396e-05,7.181413508305923e-08,4.8494714519620175e-06,4.884005042314225e-06,730,568,0.7780821917808219,383,0.5246575342465754,240,0.3287671232876712,149,0.20410958904109588,104,0.14246575342465753,76,0.10410958904109589,47,0.06438356164383562,31,0.04246575342465753,25,0.03424657534246575,22,0.030136986301369864
326, that,5.960953549140454e-06,0.00039322214433923364,1.1483845992199537e-11,4.69937958769151e-06,3.985876955362185e-06,50955,38532,0.7561966440977332,25524,0.5009125699146305,13575,0.2664115395937592,7191,0.1411245216367383,4085,0.08016877637130802,2495,0.048964772838779314,1660,0.032577764694338145,1181,0.02317731331567069,836,0.016406633303895593,661,0.012972230399371995
320, be,9.768677325818398e-06,0.0003560483455657959,1.0533855732131059e-10,6.535457941936329e-06,5.708995079128457e-06,27945,21053,0.7533726963678654,18078,0.6469135802469136,12537,0.4486312399355878,8069,0.28874575058149937,5271,0.18862050456253354,3675,0.13150831991411702,2751,0.09844337090713902,2183,0.07811773125782788,1801,0.06444802290212918,1545,0.05528717122920022
247, a,7.844573386271424e-06,0.0007040008786134422,-2.0665325733189993e-13,5.955329015705502e-06,,133057,87659,0.6588078793299113,73117,0.5495163726823843,44873,0.33724644325364317,24855,0.18679964225858092,14611,0.10981008139368842,9278,0.06972951441863262,6540,0.049151867244864984,4870,0.036600855272552364,3849,0.02892745214456962,3143,0.023621455466454225
2372, bit,6.7715274182566125e-06,7.602528057759628e-05,3.090059763621866e-08,5.654544111166615e-06,4.749821626243832e-06,1405,1036,0.7373665480427046,824,0.5864768683274021,579,0.4120996441281139,363,0.25836298932384344,222,0.15800711743772242,144,0.10249110320284698,95,0.06761565836298933,67,0.04768683274021352,51,0.036298932384341634,38,0.02704626334519573
187,"
",5.496091717943659e-06,0.0019472711719572544,-3.982680071151767e-12,1.7908818108480773e-06,,562023,227052,0.4039905840152449,132519,0.2357892826450163,89922,0.15999701079849046,67804,0.12064274949601707,53732,0.09560462828033728,44247,0.07872809475768786,35370,0.0629333674956363,29986,0.05335368837218406,25762,0.04583798171960934,22458,0.03995921875083404
